Column1.1,Column1,Column1.3,Column1.4,Column1.5
TIME:3:43:46,,IR1:75,IR2:60,US:31
TIME:3:43:46,,IR1:180,IR2:75,US:73
TIME:3:43:47,,IR1:90,IR2:75,US:61
TIME:3:43:48,,IR1:60,IR2:75,US:50
TIME:3:43:48,,IR1:45,IR2:75,US:39
TIME:3:43:48,,IR1:30,IR2:75,US:29
TIME:3:43:49,,IR1:15,IR2:60,US:16
TIME:3:43:50,,IR1:30,IR2:60,US:56
TIME:3:43:50,,IR1:60,IR2:60,US:46
TIME:3:43:51,,IR1:60,IR2:75,US:33
TIME:3:43:51,,IR1:60,IR2:75,US:22
TIME:3:43:52,,IR1:15,IR2:75,US:71
TIME:3:43:52,,IR1:45,IR2:75,US:113
